organization,service_type,address,city,state,country,postcode,latitude,longitude,public_telephone
Bugalwena General Practice,General practice service,24 Minjungbal Drive,TWEED HEADS SOUTH,NSW,AUS,2486,-28.197885513305664,153.54393005371094,
Discount Drug Stores - Rokeby,Pharmacy service,46 South Arm Road,ROKEBY,TAS,AUS,7019,-42.901756286621094,147.44741821289062,
Caulfield Hospital - Caulfield Consulting Clinic,Physical and rehabilitation medicine service,"Caulfield Hospital,Level 1 Building 28,260 Kooyong Road",CAULFIELD,VIC,AUS,3162,-37.88252258300781,145.01759338378906,Yes
Baringa Sports & Spinal Physiotherapy,Dietetics service,1 Edward Terrace,CALOUNDRA,QLD,AUS,4551,-26.809203446102046,153.08375199684235,
True North Wellness,Exercise physiology service,"Unit 5,691 Albany Creek Road",ALBANY CREEK,QLD,AUS,4035,-27.345237731933594,152.97146606445312,
Anne Gilchrist - Clinical Psychologist,Psychology service,28 The Crescent,PENRITH,NSW,AUS,2750,-33.75160598754883,150.70303344726562,
Theodore Pharmacy,Pharmacy service,"SHOP 3,72 The Boulevard",THEODORE,QLD,AUS,4719,-24.94589664,150.07624983,
Medclinic Kiama,General practice service,"UNIT 10,65 MANNING STREET",KIAMA,NSW,AUS,2533,-34.67391252,150.85441453,
My Chemist Warringal,Pharmacy service,"Warringal Shopping Centre,Shop 28,56 Burgundy Street",HEIDELBERG,VIC,AUS,3084,-37.75565719604492,145.0687255859375,
Healthy Lifestyles Australia - Killarney,Exercise physiology service,"Kilcoy Medical Centre,Cnr Kennedy and Williams Street",KILCOY,QLD,AUS,4515,-26.942296981811523,152.56201171875,
Fertility Control Clinic,Psychology service,118 WELLINGTON PARADE,EAST MELBOURNE,VIC,AUS,3002,-37.81614194,144.9862005,
Talk A Lot Speech Pathology,Speech and language therapy service,8 Highfield Crescent,ULVERSTONE,TAS,AUS,7315,-41.14666748046875,146.1509246826172,
Ocean Wave Medical,Dietetics service,87 Bowman Road,CALOUNDRA,QLD,AUS,4551,-26.80314064025879,153.1205596923828,
Chemist Warehouse Griffith,Pharmacy service,"Griffith Central Shopping Centre,Shop 16-18,10-12 Yambil Street",GRIFFITH,NSW,AUS,2680,-34.290672302246094,146.05125427246094,
Medplaza Breakfast Point,Dietetics service,15 Tennyson Road,MORTLAKE,NSW,AUS,2137,-33.84492111206055,151.10792541503906,
Diverge Consulting Inc,Psychology service,Confidential Address,NORTH MELBOURNE,VIC,AUS,3051,-37.79863739013672,144.947509765625,
HearSay Speech Pathology - Albion Park Rail,Speech and language therapy service,"Early Childhood Play Centre,47 Shandon Circuit",ALBION PARK RAIL,NSW,AUS,2527,-34.57343292236328,150.8142547607422,
Pharmacy 4 Less Alfredton,Pharmacy service,"Woolworths Lucas,SHOP 1,6 Coltman Plaza",LUCAS,VIC,AUS,3350,-37.54341268,143.78541726,
Physiotherapy Junior,Physiotherapy service,"Mount Eliza clinic,116 Mount Eliza Way",MOUNT ELIZA,VIC,AUS,3930,-38.18532943725586,145.0888671875,
BOOROWA PHARMACY,Pharmacy service,11 Marsden Street,BOOROWA,NSW,AUS,2586,-34.436279296875,148.71694946289062,
Now We're Talking - Speech Pathology and Psychology,Speech and language therapy service,193 Champion Road,WILLIAMSTOWN NORTH,VIC,AUS,3016,-37.850056,144.875657,
Coolum Sports & Spinal Physiotherapy,Physiotherapy service,"Matlow Place,Level 2 Suite 6,19 Birtwill Street",COOLUM BEACH,QLD,AUS,4573,-26.52661895751953,153.08914184570312,
PHYSIOHEALTH ORANGE,Physiotherapy service,"Unit 14,256-258 ANSON STREET",ORANGE,NSW,AUS,2800,-33.28006459,149.0999338,
Bentley Medical Centre,General practice service,1100 Albany Highway,ST JAMES,WA,AUS,6102,-31.998273849487305,115.91651916503906,
Victoria Road Medical Centre,General practice service,68 Victoria Road,NORTHCOTE,VIC,AUS,3070,-37.77838897705078,145.0106658935547,
Myhealth Penrith,Physiotherapy service,"Westfield Penrith,Suite 17,585 High Street",PENRITH,NSW,AUS,2750,-33.75116729736328,150.69219970703125,
Pelvic Health Melbourne - Altona North,Physiotherapy service,"Unit 3,216 BLACKSHAWS ROAD",ALTONA NORTH,VIC,AUS,3025,-37.83249595,144.86183514,
Chemsave Lawnton,Pharmacy service,640 Gympie Road,LAWNTON,QLD,AUS,4501,-27.29378954,152.98501979,
Focus On Physio,Physiotherapy service,194 Ashmore Road,BENOWA,QLD,AUS,4217,-28.010332107543945,153.39202880859375,
Therapy and Learning Centre - Hornsby,Physiotherapy service,"Suite 9,49 Palmerston Road",HORNSBY,NSW,AUS,2077,-33.70264434814453,151.11073303222656,
MPOT/Access Fitness - Payneham,Physiotherapy service,246 Glen Osmond Road,FULLARTON,SA,AUS,5063,-34.95119094848633,138.63290405273438,
Community Pharmacy-Como,Pharmacy service,144 Coode Street,COMO,WA,AUS,6152,-31.988784790039062,115.86241149902344,
Pain Matrix - Waurn Ponds,Pain management service,"Epworth Hospital,Level 4 Suite 1,1 Epworth Place",WAURN PONDS,VIC,AUS,3216,-38.193839,144.302101,
Hastings Discount Drug Store,Pharmacy service,40 High Street,HASTINGS,VIC,AUS,3915,-38.307430267333984,145.19168090820312,
Bankstown Community Health Physiotherapy,Physiotherapy service,36 38 Raymond Street,BANKSTOWN,NSW,AUS,2200,-33.92006301879883,151.03623962402344,
Western Downs General Practice,General practice service,171C Cunningham Street,DALBY,QLD,AUS,4405,-27.187171936035156,151.2593536376953,
Allied Fitness Australia - Underwood,Exercise physiology service,3215 Logan Road,UNDERWOOD,QLD,AUS,4119,-27.606904983520508,153.11001586914062,
Chemist Warehouse Brookvale,Pharmacy service,"Shop 1/2,2-4 ROGER STREET",BROOKVALE,NSW,AUS,2100,-33.76570602,151.26922866,
Moyne Shire Council - Port Fairy,Occupational therapy service,1 Princes Street,PORT FAIRY,VIC,AUS,3284,-38.38471984863281,142.23851013183594,
TerryWhite Chemmart Largs Bay,Pharmacy service,240A Fletcher Road,LARGS BAY,SA,AUS,5016,-34.8213005065918,138.4949951171875,
Churchill Discount Pharmacy,Pharmacy service,14 Georgina Place,CHURCHILL,VIC,AUS,3842,-38.31265,146.42151,
Rosemeadow Pharmacy,Pharmacy service,"Rosemeadow Marketplace,Shop T9,177 Copperfield Drive",ROSEMEADOW,NSW,AUS,2560,-34.10023498535156,150.7979278564453,
Moreton ATSICHS - Caboolture,General practice service,5 James Street,CABOOLTURE,QLD,AUS,4510,-27.083267211914062,152.9525146484375,
Lake Cathie Medical Centre,General practice service,"Lake Cathie Health Complex,1459 Ocean Drive",LAKE CATHIE,NSW,AUS,2445,-31.562511444091797,152.84556579589844,
KDM Psychology,Psychology service,23 Liverpool Street,FITZROY NORTH,VIC,AUS,3068,-37.781089782714844,144.97933959960938,
headspace Batemans Bay,Mental health service,"UNIT 1,11 Clyde St",BATEMANS BAY,NSW,AUS,2536,-35.704778,150.176976,
Renae Buckley Psychology,Psychology service,Confidential Address,DOUBLEVIEW,WA,AUS,6018,-31.8997410875152,115.781151729884,
Dr Bek,Psychology service,"Suite 3,UNIT 1,27-29 CROMBIE AVENUE",BUNDALL,QLD,AUS,4217,-28.00292818,153.41266876,
Dr Sultanali Adatia,General practice service,75 Station Street,ARNCLIFFE,NSW,AUS,2205,-33.937007904052734,151.14256286621094,
The Emeline,General practice service,138 GLENFERRIE ROAD,MALVERN,VIC,AUS,3144,-37.86111755,145.02889077,
Altius Group - Coffs Harbour,Exercise physiology service,"Level 6 Suite 604,24 Moonee Street",COFFS HARBOUR,NSW,AUS,2450,-30.29684829711914,153.11253356933594,
Jamison Specialist Centre,General medical service,"Hospital Specialist Building,Suite 112,64 - 68 Derby Street",KINGSWOOD,NSW,AUS,2747,-33.761351,150.711981,
Teen Challenge New Life Centre,Physical and rehabilitation medicine service,Confidential Address,TOOWOOMBA,QLD,AUS,4350,-27.559788395665613,151.95072794056895,
Aldinga Physiotherapy and Rehab,Physiotherapy service,"Shop 5,8 Old Coach Road",ALDINGA,SA,AUS,5173,-35.26822,138.48358,
NeuroRehab Canberra,Physiotherapy service,"Suite 3 & 4,17 NAPIER CLOSE",DEAKIN,ACT,AUS,2600,-35.32173925,149.09648395,
Wesley Mission - Psychological Services (Newcastle),Mental health service,15 Denison Street,NEWCASTLE WEST,NSW,AUS,2302,-32.92506408691406,151.75692749023438,
Discover Health - Eltham,Psychology service,"Shop 1,1137 Main Road",ELTHAM,VIC,AUS,3095,-37.70686340332031,145.14991760253906,
Templestowe Pharmacy,Pharmacy service,21A-23 Anderson Street,TEMPLESTOWE,VIC,AUS,3106,-37.75761413574219,145.1298828125,
Michael Bourke - Lifecare Cottesloe Physiotherapy,Physiotherapy service,"Level 1, Shop 42,460 Stirling Highway",PEPPERMINT GROVE,WA,AUS,6011,-31.99842071533203,115.7633285522461,
Myrtle Oak Clinic & Optimum Intake Dietitians,Dietetics service,"L 2,163 Lambton Rd",BROADMEADOW,NSW,AUS,2292,-32.923699,151.723374,
NAPHL Allied Health Services,Exercise physiology service,"Clinical Practice Building,Floor 4,1 James Cook Drive",DOUGLAS,QLD,AUS,4814,-19.32807159423828,146.75625610351562,
Blooms The Chemist - South West Rocks,Pharmacy service,"The Rocks Shopping Fair,Shop 9-10,257 259 Gregory Street",SOUTH WEST ROCKS,NSW,AUS,2431,-30.907197952270508,153.0423583984375,
Daw Park Medical Centre,General practice service,1 - 3 Ormond Avenue,DAW PARK,SA,AUS,5041,-34.762707176165605,138.565831221939,
Exercise For Rehabilitation And Health,Chronic disease management service,"Suite 15A,82 Keilor Road",ESSENDON NORTH,VIC,AUS,3041,-37.74216079711914,144.9051513671875,
Hilton Pharmacy,Pharmacy service,147 A Marion Road,RICHMOND,SA,AUS,5033,-34.93799536,138.55325289,
Green Road Medical Centre,General practice service,29 Green Road,HILLARYS,WA,AUS,6025,-31.798625946044922,115.75043487548828,
Interact Speech Pathology Services,Speech and language therapy service,645 David Street,ALBURY,NSW,AUS,2640,-36.07371139526367,146.92138671875,
The Holy Family Medical Centre,Psychology service,"Shop 3,529-539 New Canterbury Road",DULWICH HILL,NSW,AUS,2203,-33.90419006347656,151.1394500732422,
Psychological Health Centre,Occupational therapy service,"Suite 10,2A Redman Road",DEE WHY,NSW,AUS,2099,-33.75389099121094,151.28431701660156,
Pines Forest Pharmacy,Pharmacy service,42 Mahogany Avenue,FRANKSTON NORTH,VIC,AUS,3200,-38.12320961,145.14768846,
Bundeena Family Practice,General practice service,"Shop 5,22-30 Brighton Street",BUNDEENA,NSW,AUS,2230,-34.084598541259766,151.1517333984375,
Wimmera Health Care Group - Wimmera Base Hospital,Physical and rehabilitation medicine service,"Horsham Base Hospital,83 Baillie Street",HORSHAM,VIC,AUS,3400,-36.71260070800781,142.20858764648438,
K point rehabilitation,Physiotherapy service,"Ground Floor,634 Main Street",KANGAROO POINT,QLD,AUS,4169,-27.479485,153.036103,
Ocean Village Pharmacy,Pharmacy service,"Shop 11,2 Kilpa Court",CITY BEACH,WA,AUS,6015,-31.912684,115.764588,
Tusmore Ave Surgery,General practice service,103 Tusmore Ave,TUSMORE,SA,AUS,5065,-34.938202,138.651564,
CentacareCQ - Blackwater,Mental health service,Corner Kurrajong Road and Fir Street,BLACKWATER,QLD,AUS,4717,-23.572589874267578,148.8817138671875,
Gold Coast University Hospital - Diabetes,Chronic disease management service,1 Hospital Boulevard,SOUTHPORT,QLD,AUS,4215,-27.967308044433594,153.41452026367188,
Ochre Health Medical Centre Queenstown,General practice service,60-64 Orr Street,QUEENSTOWN,TAS,AUS,7467,-42.0811882019043,145.55833435058594,
Chemistsavers Westwood Pharmacy,Pharmacy service,58-60 Hanson Road,WOODVILLE GARDENS,SA,AUS,5012,-34.867347717285156,138.54823303222656,
Barkley Mental Health,Adult mental health service,172 Paterson Street,TENNANT CREEK,NT,AUS,0860,-19.641950607299805,134.1919708251953,
Grange Medical Centre - Grange,General practice service,314 Military Road,GRANGE,SA,AUS,5022,-34.90180587768555,138.490966796875,
Maud Street Medical Centre,General practice service,"Suite 7,1 Maud Street",NAMBOUR,QLD,AUS,4560,-26.628122329711914,152.95997619628906,
Cavendish Road Clinic,General practice service,342 Cavendish Road,COORPAROO,QLD,AUS,4151,-27.5050048828125,153.061767578125,
Narellan Town Medical Centre,Dietetics service,"Level 2 Shop 410,326 Camden Valley Way",NARELLAN,NSW,AUS,2567,-34.0400505065918,150.7360382080078,
Groveway Medical,General practice service,"Shop MM02, The Grove Shopping Centre,Lot 1037 The Golden Way",GOLDEN GROVE,SA,AUS,5125,-34.79024544655374,138.69330028778506,
A2Z Health Group - Dandenong,Physiotherapy service,82 Stud Road,DANDENONG,VIC,AUS,3175,-37.97746276855469,145.22271728515625,
Top Health Doctors Beenleigh,General practice service,"Beenleigh Marketplace, Outer Ground Floor,114-118 GEORGE STREET",BEENLEIGH,QLD,AUS,4207,-27.71771877,153.20667776,
Wollongong Oncology,Neurology service,"Wollongong Private Hospital,Level 6 Suite 6,360-364 Crown Street",WOLLONGONG,NSW,AUS,2500,-34.42566680908203,150.88087463378906,
"Healthy Lifestyles Australia - Shop 10, 1455 Brisbane Valley Highway",Dietetics service,"Fernvale Health Matters,Shop 10,1455 Brisbane Valley Highway",FERNVALE,QLD,AUS,4306,-27.456899642944336,152.6544189453125,
Mannering Park Pharmacy,Pharmacy service,"Unit 3,72 Vales Road",MANNERING PARK,NSW,AUS,2259,-33.15256881713867,151.53712463378906,
Susan Haertel - Psychology,Psychology service,"Unit 4,5 Mt Pleasant Road",NUNAWADING,VIC,AUS,3131,-37.820945739746094,145.17930603027344,
Carlingford Active Health,Physiotherapy service,733 Pennant Hills Road,CARLINGFORD,NSW,AUS,2118,-33.76960372924805,151.05068969726562,
Dietitian SJ - Lidcombe,Dietetics service,"Lidcombe Shopping Centre,Unit 38,92 Parramatta Road",LIDCOMBE,NSW,AUS,2141,-33.849339,151.048749,
Slade Pharmacy - Merewether,Pharmacy service,23 Merewether Street,MEREWETHER,NSW,AUS,2291,-32.94046727,151.75564147,
Oncology Clinics Victoria - Brighton,Exercise physiology service,"Cabrini Brighton Hospital,Suite 5,237 243 New Street",BRIGHTON,VIC,AUS,3186,-37.91204071044922,144.9912109375,
Cerebral Palsy Alliance - Alstonville,Occupational therapy service,96 Main Street,ALSTONVILLE,NSW,AUS,2477,-28.841880798339844,153.4407501220703,
Beswick Psychology Service,Psychology service,"Suite 3,81 Cimitiere Street",LAUNCESTON,TAS,AUS,7250,-41.433475494384766,147.13992309570312,
Hinteractive Physio,Physiotherapy service,"Unit 2-3,7 Garnet Street",COOROY,QLD,AUS,4563,-26.417978286743164,152.9084014892578,
Mary's Family Pharmacy,Pharmacy service,"Middle Ridge Shopping Village,Shops 5 & 6,156-158 Spring Street",MIDDLE RIDGE,QLD,AUS,4350,-27.6022321497963,151.960044310717,
Orana Pharmacy Albany,Pharmacy service,463 Albany Highway,ORANA,WA,AUS,6330,-34.9944012,117.85626387,
Horsley Community Doctors,General practice service,44 Horsley Drive,HORSLEY,NSW,AUS,2530,-34.488407135009766,150.77975463867188,
Nittys Garage,Physiotherapy service,12 Kent Grove,CAULFIELD NORTH,VIC,AUS,3161,-37.870540618896484,145.01524353027344,
Link Health and Community - Chadstone,Dietetics service,"Batesford Hub,94 Batesford Road",CHADSTONE,VIC,AUS,3148,-37.876617431640625,145.0994415283203,
Solutions for Living - Occupational Therapy Services,Occupational therapy service,32 Mercury Parade,MANGO HILL,QLD,AUS,4509,-27.247217178344727,153.03561401367188,
Pacific Medical Centre Blacktown,General practice service,23-27 First Avenue,BLACKTOWN,NSW,AUS,2148,-33.76736068725586,150.90966796875,
Gunditjmara Health Clinic,Dietetics service,3 Banyan Street,WARRNAMBOOL,VIC,AUS,3280,-38.38768005371094,142.48333740234375,
Dr Vanessa Mills,Clinical psychology service,"Eastwood Psychology Services ,61 Main Street",EASTWOOD,SA,AUS,5063,-34.94305,138.622,
Malvern East Pharmacy,Pharmacy service,332 Waverley Road,MALVERN EAST,VIC,AUS,3145,-37.877567291259766,145.05880737304688,
Baillie Henderson Hospital - Physiotherapy,Physiotherapy service,Hogg Street,TOOWOOMBA,QLD,AUS,4350,-27.528671264648438,151.9388885498047,
Hunter Area Speech Pathology,Speech and language therapy service,1/18 Alma Road,NEW LAMBTON,NSW,AUS,2305,-32.9222297668457,151.71481323242188,
Gumdale Medical Centre,Dietetics service,"Eastside Village,Shop 21,696 New Cleveland Road",GUMDALE,QLD,AUS,4154,-27.490253448486328,153.15260314941406,
Myhealth Central Park,General practice service,"Central Park Shopping Centre - Shop RB08,Lower Ground ,1 Central Park Avenue",CHIPPENDALE,NSW,AUS,2008,-33.884490966796875,151.19886779785156,
Traralgon Polyclinic,General practice service,63 Argyle Street,TRARALGON,VIC,AUS,3844,-38.193532086874804,146.5462056576601,
Calvary Bruce Private Hospital,Psychology service,"Calvary Private Hospital,30 Mary Potter Circuit",BRUCE,ACT,AUS,2617,-35.253905,149.09134,
Brisbane Clinic Of Nutritional Medicine,Nutrition service,"Suite 60,283 Given Terrace",PADDINGTON,QLD,AUS,4064,-27.46053123474121,153.0037841796875,
HC Health Hub,Physiotherapy service,237 HONOUR AVENUE,COROWA,NSW,AUS,2646,-35.99380359,146.39079296,
The Healthy Body Company - Jordan Springs,Dietetics service,"Level 1 Shop 9,65 Water Gum Drive",JORDAN SPRINGS,NSW,AUS,2747,-33.7262077331543,150.7257080078125,
Sydney Speech and Language Centre,Speech and language therapy service,"Suite 2,284 Great North Road",WAREEMBA,NSW,AUS,2046,-33.856903076171875,151.13101196289062,
Radiance Pharmacy,Pharmacy service,76 Burrowes Street,SURAT,QLD,AUS,4417,-27.15245612,149.06950451,
Barwon Health - Community Health Centre and Services - Anglesea,Dietetics service,3 MCMILLAN STREET,ANGLESEA,VIC,AUS,3230,-38.40977866,144.18450776,
Prom Coast Physiotherapy,Physiotherapy service,99 Station Road,FOSTER,VIC,AUS,3960,-38.65985107421875,146.20718383789062,
Medibank Health Solutions,Occupational therapy service,"Level 7,340 Adelaide Street",BRISBANE CITY,QLD,AUS,4000,-27.46453094482422,153.029541015625,
Therapy Collective,Psychology service,1 GARRICK STREET,COOLANGATTA,QLD,AUS,4225,-28.1664617,153.53476797,
Bodyworks Subiaco,Physiotherapy service,179 York Street,SUBIACO,WA,AUS,6008,-31.94646453857422,115.829345703125,
Shelly Beach Medical Clinic,General practice service,"Shop 3,471 Charlton Esplanade",TORQUAY,QLD,AUS,4655,-25.282316207885742,152.8816680908203,
James Dean Pharmacy - Hamilton,Pharmacy service,"Shop 6,130 Lonsdale Street",HAMILTON,VIC,AUS,3300,-37.738670349121094,142.02830505371094,
Forest Lake Discount Drug Store,Pharmacy service,"Shop 4,120 Woogaroo Street",FOREST LAKE,QLD,AUS,4078,-27.61105003,152.95864178,
Oakleigh Physiotherapy,Physiotherapy service,110 Atherton Road,OAKLEIGH,VIC,AUS,3166,-37.90000915527344,145.0963592529297,
headspace Alice Springs,General practice service,74 Todd Street,ALICE SPRINGS,NT,AUS,0870,-23.7012939453125,133.88162231445312,
Sitemed,Occupational therapy service,27 Sydenham Road,NORWOOD,SA,AUS,5067,-34.917791,138.626952,
Metro GP,General practice service,"Unit 1,64 Bull Creek Drive",BULL CREEK,WA,AUS,6149,-32.056270599365234,115.85617065429688,
Glengarry Private Hospital,Palliative medicine service,"Glengarry Private Hosp,53 Arnisdale Road",DUNCRAIG,WA,AUS,6023,-31.834218978881836,115.78479766845703,
LiveLife Pharmacy Lawrie Street,Pharmacy service,17 Lawrie Street,GRACEMERE,QLD,AUS,4702,-23.437471389770508,150.45584106445312,
